batteryMilliWatts,batteryMilliAmps,isBatteryInFloat,batteryVoltage,samplePeriodMilliSec,kalman_soc,SoC_LibreSolar
0.09459,0.736,1,12.837,5.0,5.893,7.7
0.09489,0.738,1,12.847,5.0,5.8965,7.7
0.10536,0.818,1,12.876,5.0,5.8847,7.7
0.10315,0.8,1,12.878,5.0,5.8902,7.7
0.09172,0.713,1,12.849,5.0,5.8937,7.7
0.10569,0.819,1,12.889,5.0,5.8989,7.7
0.12798,0.987,1,12.955,5.0,5.8904,7.7
0.13331,1.027,1,12.977,5.0,5.9026,7.7
0.1661,1.271,1,13.066,5.0,5.9024,7.7
0.17082,1.304,1,13.096,5.0,5.9079,7.7
0.17136,1.307,1,13.109,5.0,5.9145,7.7
0.17311,1.318,1,13.133,5.0,5.9218,7.7
0.17987,1.365,1,13.169,5.0,5.9292,7.7
0.18743,1.42,1,13.195,5.0,5.937,7.7
0.19035,1.439,1,13.222,5.0,5.9448,7.7
0.19479,1.47,1,13.248,5.0,5.9527,7.7
0.20361,1.531,1,13.297,5.0,5.9608,7.7
0.20857,1.564,1,13.333,5.0,5.9691,7.7
0.21338,1.596,1,13.367,5.0,5.9776,7.7
0.17608,1.324,1,13.298,5.0,5.9978,7.7
0.2477,1.833,1,13.51,5.0,6.0309,7.7
0.18616,1.388,1,13.408,5.0,6.0341,7.7
0.19173,1.426,1,13.439,5.0,6.0402,7.7
0.26151,1.91,1,13.686,5.0,6.0576,7.7
0.07778,0.593,1,13.1,5.0,6.1823,7.7
0.10558,0.8,1,13.192,5.0,6.2356,7.7
0.16394,1.221,1,13.416,5.0,6.2427,7.7
0.26719,1.922,1,13.897,5.0,6.2673,7.7
0.26,1.863,1,13.953,5.0,6.2755,7.7
0.25772,1.838,1,14.021,5.0,6.2851,7.7
0.14065,1.043,2,13.479,5.0,6.338,7.7
0.07862,0.594,3,13.22,5.0,6.4416,7.7
0.06758,0.512,3,13.179,5.0,6.6308,7.7
0.17689,1.284,3,13.771,5.0,10.0,7.7
0.16453,1.196,3,13.752,5.0,10.0,7.7
0.15399,1.117,3,13.786,5.0,10.0,7.7
0.13056,0.956,3,13.648,5.0,10.0,7.7
0.14166,1.028,3,13.775,5.0,10.0,7.7
0.13423,0.974,3,13.778,5.0,10.0,7.7
0.12767,0.929,3,13.732,5.0,10.0,7.7
0.09511,0.706,3,13.468,5.0,10.0,7.7
0.08701,0.647,3,13.435,5.0,10.0,7.7
0.10429,0.758,3,13.742,5.0,10.0,7.7
0.10423,0.761,3,13.686,5.0,10.0,7.7
0.08787,0.647,3,13.564,5.0,10.0,7.7
0.09253,0.675,3,13.69,5.0,10.0,7.7
0.08991,0.652,3,13.787,5.0,10.0,7.7
0.08413,0.611,3,13.75,5.0,10.0,7.7
0.07649,0.555,3,13.763,5.0,10.0,7.7
0.07643,0.554,3,13.782,5.0,10.0,7.7
0.07025,0.511,3,13.732,5.0,10.0,7.7
0.07384,0.539,3,13.687,5.0,10.0,7.7
0.06175,0.453,3,13.624,5.0,10.0,7.7
0.05367,0.394,3,13.596,5.0,10.0,7.8
0.04847,0.349,3,13.878,5.0,10.0,7.9
0.07653,0.544,3,14.052,5.0,10.0,7.9
0.07723,0.553,3,13.948,5.0,10.0,7.9
0.06361,0.46,3,13.811,5.0,10.0,8.0
0.05581,0.408,3,13.669,5.0,10.0,8.6
0.05226,0.383,3,13.633,5.0,10.0,9.5
0.04908,0.349,3,14.026,5.0,10.0,9.6
0.05134,0.364,3,14.102,5.0,10.0,9.6
0.05103,0.373,3,13.663,5.0,10.0,9.8
0.04258,0.312,3,13.637,5.0,10.0,9.9
0.04387,0.321,3,13.662,5.0,10.0,9.9
0.0372,0.276,3,13.474,5.0,10.0,9.9
0.0446,0.326,3,13.644,5.0,10.0,10.0
0.07312,0.524,3,13.937,5.0,10.0,10.0
0.04212,0.308,3,13.647,5.0,10.0,10.0
0.0399,0.292,3,13.649,5.0,10.0,10.0
0.03346,0.244,3,13.71,5.0,10.0,10.0
0.03914,0.28,3,13.959,5.0,10.0,10.0
0.06873,0.492,3,13.957,5.0,10.0,10.0
0.03514,0.258,3,13.58,5.0,10.0,10.0
0.03861,0.281,3,13.716,5.0,10.0,10.0
0.03668,0.266,3,13.739,5.0,10.0,10.0
0.03897,0.282,3,13.803,5.0,10.0,10.0
0.03467,0.252,3,13.717,5.0,10.0,10.0
0.03763,0.273,3,13.757,5.0,10.0,10.0
0.03567,0.26,3,13.715,5.0,10.0,10.0
0.03672,0.266,3,13.785,5.0,10.0,10.0
0.03491,0.254,3,13.73,5.0,10.0,10.0
0.03589,0.261,3,13.707,5.0,10.0,10.0
0.03403,0.248,3,13.706,5.0,10.0,10.0
0.03609,0.261,3,13.781,5.0,10.0,10.0
0.03533,0.256,3,13.786,5.0,10.0,10.0
0.03343,0.243,3,13.756,5.0,10.0,10.0
0.03434,0.249,3,13.784,5.0,10.0,10.0
0.03413,0.247,3,13.77,5.0,10.0,10.0
0.03223,0.234,3,13.733,5.0,10.0,10.0
0.03197,0.232,3,13.739,5.0,10.0,10.0
0.0315,0.229,3,13.714,5.0,10.0,10.0
0.03153,0.23,3,13.707,5.0,10.0,10.0
0.03273,0.237,3,13.785,5.0,10.0,10.0
0.03162,0.229,3,13.77,5.0,10.0,10.0
0.0304,0.221,3,13.74,5.0,10.0,10.0
0.02938,0.214,3,13.71,5.0,10.0,10.0
0.02922,0.213,3,13.706,5.0,10.0,10.0
0.02346,0.174,3,13.445,5.0,10.0,10.0
0.01598,0.12,3,13.278,5.0,10.0,10.0
0.01496,0.113,3,13.229,5.0,10.0,10.0
0.0128,0.097,3,13.194,5.0,10.0,10.0
0.01131,0.085,3,13.171,5.0,10.0,10.0
0.01088,0.082,1,13.152,5.0,10.0,10.0
0.00912,0.069,1,13.124,5.0,10.0,10.0
0.00835,0.063,1,13.108,5.0,10.0,10.0
0.00755,0.057,1,13.082,5.0,10.0,10.0
0.00474,0.036,1,13.046,5.0,10.0,10.0
0.00219,0.016,1,13.004,5.0,10.0,10.0
0.00177,0.013,1,12.98,5.0,10.0,10.0
0.00142,0.01,1,12.96,5.0,10.0,10.0
0.00052,0.004,1,12.94,5.0,10.0,10.0
0.0002,0.001,1,12.933,5.0,10.0,10.0
0.0003,0.002,1,12.927,5.0,10.0,10.0
0.00052,0.004,1,12.923,5.0,10.0,10.0
0.00019,0.001,1,12.922,5.0,10.0,10.0
0.00053,0.004,1,12.92,5.0,10.0,10.0
-6e-05,0.0,1,12.913,5.0,9.7522,10.0
0.00036,0.002,1,12.91,5.0,9.5927,10.0
0.00039,0.003,1,12.908,5.0,9.4829,9.9
0.00029,0.002,1,12.905,5.0,9.3619,9.9
0.00043,0.003,1,12.902,5.0,9.3005,9.9
0.00099,0.007,1,12.9,5.0,9.2116,9.9
-0.07876,-0.622,1,12.643,5.0,10.0,9.9
-0.08132,-0.644,1,12.624,5.0,10.0,9.9
-0.09396,-0.747,1,12.573,5.0,10.0,9.9
-0.0833,-0.662,1,12.58,5.0,10.0,9.9
-0.08321,-0.661,1,12.582,5.0,10.0,9.9
